"日期","收市","開市","高","低","成交量","更改%"
"2013年4月8日","98.50","99.00","99.50","98.50","58.37K","-1.99%"
"2013年4月3日","100.50","101.50","101.50","100.00","27.10K","0.00%"
"2013年4月2日","100.50","100.50","101.00","99.80","22.33K","-0.50%"
"2013年4月1日","101.00","101.00","102.00","100.50","16.37K","0.50%"
"2013年3月29日","100.50","100.00","101.00","99.80","19.00K","0.50%"
"2013年3月28日","100.00","100.00","100.50","99.30","29.56K","-0.50%"
"2013年3月27日","100.50","99.00","100.50","98.80","29.97K","1.52%"
"2013年3月26日","99.00","99.20","99.40","98.80","27.22K","-0.50%"
"2013年3月25日","99.50","99.90","100.50","99.20","25.47K","1.53%"
"2013年3月22日","98.00","98.60","99.10","98.00","44.94K","-0.71%"
"2013年3月21日","98.70","98.80","100.50","98.70","58.47K","-0.10%"
"2013年3月20日","98.80","99.50","99.50","98.80","64.02K","-1.20%"
"2013年3月19日","100.00","101.00","101.50","99.60","50.77K","-0.50%"
"2013年3月18日","100.50","102.00","102.00","100.50","44.19K","-2.43%"
"2013年3月15日","103.00","105.00","105.00","103.00","35.63K","-0.96%"
"2013年3月14日","104.00","104.00","104.50","103.00","33.07K","-0.48%"
